method,metric,snr_db,value
TRexSPCA-ENaug-TLASSO-Act,PEV,-7.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,FDR,-5.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,TPR,-5.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,PEV,-5.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,FDR,-3.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,TPR,-3.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,PEV,-3.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,FDR,0.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,TPR,0.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,PEV,0.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,FDR,3.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,TPR,3.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,PEV,3.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,FDR,5.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,TPR,5.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,PEV,5.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,FDR,7.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,TPR,7.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,PEV,7.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,FDR,10.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,TPR,10.000000,0.000000
TRexSPCA-ENaug-TLASSO-Act,PEV,10.000000,0.000000
TRexSPCA-ENaug-TLASSO-Thr,FDR,-10.000000,0.000000
TRexSPCA-ENaug-TLASSO-Thr,TPR,-10.000000,0.000000
TRexSPCA-ENaug-TLASSO-Thr,PEV,-10.000000,0.000000
TRexSPCA-ENaug-TLASSO-Thr,FDR,-7.000000,0.000000
TRexSPCA-ENaug-TLASSO-Thr,TPR,-7.000000,0.000000
TRexSPCA-ENaug-TLASSO-Thr,PEV,-7.000000,0.000000
TRexSPCA-ENaug-TLASSO-Thr,FDR,-5.000000,0.000000
TRexSPCA-ENaug-TLASSO-Thr,TPR,-5.000000,0.000000
TRexSPCA-ENaug-TLASSO-Thr,PEV,-5.000000,0.000000
TRexSPCA-ENaug-TLASSO-Thr,FDR,-3.000000,0.000000
TRexSPCA-ENaug-TLASSO-Thr,TPR,-3.000000,0.000000
