solver,metric,Rho,value
TREX-DA+EQUI: TAFS,sd_FDR,0.700000,0.000000
TREX-DA+EQUI: TAFS,TPR,0.700000,0.000000
TREX-DA+EQUI: TAFS,sd_TPR,0.700000,0.000000
TREX-DA+EQUI: TAFS,Avg_L,0.700000,1.000000
TREX-DA+EQUI: TAFS,Avg_T,0.700000,8.000000
TREX-DA+EQUI: TAFS,FDR,0.900000,0.000000
TREX-DA+EQUI: TAFS,sd_FDR,0.900000,0.000000
TREX-DA+EQUI: TAFS,TPR,0.900000,0.000000
TREX-DA+EQUI: TAFS,sd_TPR,0.900000,0.000000
TREX-DA+EQUI: TAFS,Avg_L,0.900000,1.000000
TREX-DA+EQUI: TAFS,Avg_T,0.900000,8.000000
TREX-DA+EQUI: TOMP,FDR,0.000000,0.126262
TREX-DA+EQUI: TOMP,sd_FDR,0.000000,0.066439
TREX-DA+EQUI: TOMP,TPR,0.000000,1.000000
TREX-DA+EQUI: TOMP,sd_TPR,0.000000,0.000000
TREX-DA+EQUI: TOMP,Avg_L,0.000000,1.000000
TREX-DA+EQUI: TOMP,Avg_T,0.000000,8.720000
TREX-DA+EQUI: TOMP,FDR,0.025000,0.000455
TREX-DA+EQUI: TOMP,sd_FDR,0.025000,0.006428
TREX-DA+EQUI: TOMP,TPR,0.025000,0.005000
TREX-DA+EQUI: TOMP,sd_TPR,0.025000,0.070711
TREX-DA+EQUI: TOMP,Avg_L,0.025000,1.000000
TREX-DA+EQUI: TOMP,Avg_T,0.025000,8.035000
TREX-DA+EQUI: TOMP,FDR,0.050000,0.000000
TREX-DA+EQUI: TOMP,sd_FDR,0.050000,0.000000
TREX-DA+EQUI: TOMP,TPR,0.050000,0.000000
TREX-DA+EQUI: TOMP,sd_TPR,0.050000,0.000000
TREX-DA+EQUI: TOMP,Avg_L,0.050000,1.000000
TREX-DA+EQUI: TOMP,Avg_T,0.050000,8.000000
TREX-DA+EQUI: TOMP,FDR,0.100000,0.000000
TREX-DA+EQUI: TOMP,sd_FDR,0.100000,0.000000
TREX-DA+EQUI: TOMP,TPR,0.100000,0.000000
TREX-DA+EQUI: TOMP,sd_TPR,0.100000,0.000000
TREX-DA+EQUI: TOMP,Avg_L,0.100000,1.000000
TREX-DA+EQUI: TOMP,Avg_T,0.100000,8.000000
TREX-DA+EQUI: TOMP,FDR,0.200000,0.000000
TREX-DA+EQUI: TOMP,sd_FDR,0.200000,0.000000
TREX-DA+EQUI: TOMP,TPR,0.200000,0.000000
TREX-DA+EQUI: TOMP,sd_TPR,0.200000,0.000000
TREX-DA+EQUI: TOMP,Avg_L,0.200000,1.000000
TREX-DA+EQUI: TOMP,Avg_T,0.200000,8.000000
TREX-DA+EQUI: TOMP,FDR,0.400000,0.000000
TREX-DA+EQUI: TOMP,sd_FDR,0.400000,0.000000
TREX-DA+EQUI: TOMP,TPR,0.400000,0.000000
TREX-DA+EQUI: TOMP,sd_TPR,0.400000,0.000000
TREX-DA+EQUI: TOMP,Avg_L,0.400000,1.000000
TREX-DA+EQUI: TOMP,Avg_T,0.400000,8.000000
TREX-DA+EQUI: TOMP,FDR,0.700000,0.000000
